Disease_Name,Category,Severity_Level,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Medication_1,Medication_2,Medication_3,
Heat Stroke,Environmental Condition,Severe,High body temperature,Confusion,Dry skin,Unconsciousness,Rapid pulse,Headache,Nausea,Cooling measures,IV fluids,Benzodiazepines (if needed),
Helicobacter pylori Infection,Bacterial Infection,Moderate,Abdominal pain,Indigestion,Nausea,Bloating,Frequent burping,Loss of appetite,Unexplained weight loss,Clarithromycin,Amoxicillin,Proton pump inhibitors,
Hemorrhoids,Digestive Disorder,Mild,Rectal bleeding,Discomfort,Pain during bowel movement,Lump near anus,Anal itching,Swelling,,Topical creams,Sitz baths,Stool softeners,
Hepatitis A,Viral Infection,Moderate,Jaundice,Fatigue,Nausea,Abdominal pain,Dark urine,Pale stool,Fever,Rest and fluids,Antiemetics,Pain relievers,
Hepatitis B,Viral Infection,Moderate,Jaundice,Fatigue,Joint pain,Abdominal discomfort,Loss of appetite,Nausea,Fever,Antiviral medications,Interferon,Liver transplant (if chronic),
Hepatitis C,Viral Infection,Moderate,Jaundice,Fatigue,Nausea,Abdominal pain,Muscle aches,Loss of appetite,Fever,"Antivirals (e.g., sofosbuvir)",Ribavirin,Interferon,
Herpes Simplex Virus (HSV),Viral Infection,Moderate,Blisters,Ulcers,Pain,Itching,Burning sensation,Swollen glands,Flu-like symptoms,Acyclovir,Valacyclovir,Famciclovir,
Hiatal Hernia,Digestive Disorder,Mild,Heartburn,Regurgitation,Chest pain,Belching,Nausea,Difficulty swallowing,,Antacids,H2 blockers,Proton pump inhibitors,
Hiccups,Neurological Reflex,Mild,Involuntary spasms,Hic sound,Tickling in throat,Shortness of breath,Abdominal discomfort,Irritability,,Baclofen,Metoclopramide,Chlorpromazine,
High Cholesterol,Metabolic Disorder,Mild,No symptoms (silent),,,,,,,Statins,Niacin,Fibrates,
High Blood Pressure (Hypertension),Cardiovascular Disease,Moderate,Headache (sometimes),Dizziness,Blurred vision,Nosebleeds,Chest pain,Fatigue,Palpitations,ACE inhibitors,Calcium channel blockers,Diuretics,
Hirsutism,Hormonal Disorder,Mild,Excessive hair growth,Irregular periods,Acne,Oily skin,Deep voice,Male-pattern baldness,,Oral contraceptives,Anti-androgens,Eflornithine cream,
Histoplasmosis,Fungal Infection,Moderate,Fever,Cough,Fatigue,Chest pain,Headache,Chills,Body aches,Itraconazole,Amphotericin B,Fluconazole,
HIV/AIDS,Viral Infection,Severe,Recurrent infections,Fatigue,Weight loss,Night sweats,Swollen lymph nodes,Fever,Diarrhea,Antiretroviral therapy (ART),Tenofovir,Lamivudine,
Hodgkin's Lymphoma,Cancer,Severe,Swollen lymph nodes,Weight loss,Night sweats,Fatigue,Fever,Itching,Chest pain,Chemotherapy,Radiation therapy,Immunotherapy,
Hookworm Infection,Parasitic Infection,Moderate,Itchy rash,Abdominal pain,Diarrhea,Fatigue,Weight loss,Anemia,Nutritional deficiency,Albendazole,Mebendazole,Iron supplements,
Hornet Sting,Allergic Reaction,Mild,Swelling,Redness,Pain,Itching,Warmth,Nausea,Dizziness,Antihistamines,Pain relievers,Ice application,
Huntington’s Disease,Neurological Disorder,Severe,Involuntary movements,Memory loss,Mood swings,Behavioral changes,Difficulty speaking,Depression,Weight loss,Tetrabenazine,Antipsychotics,Antidepressants,
Hydrocephalus,Neurological Disorder,Severe,Headache,Vision problems,Vomiting,Balance issues,Mental decline,Irritability,Sleepiness,Surgical shunt,Acetazolamide,Diuretics,
Hyperparathyroidism,Hormonal Disorder,Moderate,Bone pain,Fatigue,Kidney stones,Depression,Nausea,Constipation,Abdominal pain,Calcimimetics,Bisphosphonates,Surgery,
Hyperthyroidism,Hormonal Disorder,Moderate,Weight loss,Rapid heartbeat,Heat intolerance,Nervousness,Sweating,Tremors,Irritability,Methimazole,Propylthiouracil,Beta-blockers,
Hypoparathyroidism,Hormonal Disorder,Moderate,Muscle cramps,Tingling,Seizures,Fatigue,Dry skin,Hair loss,Memory problems,Calcium supplements,Vitamin D,Magnesium supplements,
Hypothyroidism,Hormonal Disorder,Moderate,Fatigue,Weight gain,Cold intolerance,Depression,Dry skin,Slow heart rate,Puffy face,Levothyroxine,Iron supplements,Selenium,
Hysteria (Conversion Disorder),Psychiatric Disorder,Mild,Sudden blindness,Paralysis,Seizures,Numbness,Emotional outbursts,Memory loss,Difficulty speaking,Cognitive behavioral therapy,Anxiolytics,Antidepressants,
Ichthyosis,Genetic Skin Disorder,Mild,Dry scaly skin,Itching,Cracking,Flaking,Thick skin,Tight skin,,Moisturizers,Retinoids,Keratolytics,
Immune Thrombocytopenia (ITP),Hematological Disorder,Moderate,Easy bruising,Petechiae,Nosebleeds,Bleeding gums,Fatigue,Heavy menstruation,,Corticosteroids,IVIG,Thrombopoietin receptor agonists,
Impetigo,Bacterial Skin Infection,Mild,Red sores,Itching,Fluid-filled blisters,Crusting,Skin irritation,Swelling,,Mupirocin ointment,Cephalexin,Dicloxacillin,
Inflammatory Bowel Disease,Digestive Disorder,Severe,Abdominal pain,Diarrhea,Bloody stool,Weight loss,Fatigue,Fever,Joint pain,Mesalamine,Corticosteroids,Immunosuppressants,
Influenza (Flu),Viral Infection,Moderate,Fever,Chills,Muscle aches,Fatigue,Runny nose,Sore throat,Cough,Oseltamivir,Acetaminophen,Antihistamines,
Ingrown Toenail,Skin/Nail Disorder,Mild,Pain,Redness,Swelling,Pus,Warmth,Difficulty walking,,Antibiotic ointment,Pain relievers,Minor surgery,
Insomnia,Sleep Disorder,Mild,Difficulty falling asleep,Waking up frequently,Fatigue during day,Irritability,Difficulty concentrating,Anxiety,,Melatonin,Sleep hygiene therapy,Benzodiazepines,
Insulinoma,Endocrine Tumor,Moderate,Confusion,Sweating,Weakness,Hunger,Palpitations,Seizures,Dizziness,Surgery,Diazoxide,Octreotide,
Interstitial Cystitis,Urological Disorder,Moderate,Bladder pressure,Pelvic pain,Frequent urination,Burning sensation,Urgency,Pain during intercourse,,Pentosan polysulfate sodium,Antihistamines,Pain relievers,
Intestinal Obstruction,Digestive Disorder,Severe,Abdominal pain,Vomiting,Constipation,Bloating,No bowel movement,Cramps,,IV fluids,Nasogastric suction,Surgery,
Iron Deficiency Anemia,Nutritional Disorder,Moderate,Fatigue,Pale skin,Weakness,Shortness of breath,Headache,Cold hands/feet,Dizziness,Iron supplements,Vitamin C,Dietary changes,
Irritable Bowel Syndrome (IBS),Digestive Disorder,Moderate,Abdominal pain,Bloating,Constipation,Diarrhea,Cramping,Mucus in stool,Anxiety,Antispasmodics,Laxatives,Dietary fiber,
Ischemic Stroke,Neurological Disorder,Severe,Sudden numbness,Trouble speaking,Vision problems,Headache,Paralysis,Loss of balance,Confusion,tPA (tissue plasminogen activator),Aspirin,Anticoagulants,
Jaundice,Liver Disorder,Mild,Yellowing of skin,Yellow eyes,Dark urine,Pale stool,Fatigue,Itching,Abdominal pain,Ursodeoxycholic acid,Cholestyramine,Antivirals (if viral cause),
Japanese Encephalitis,Viral Infection,Severe,Fever,Headache,Vomiting,Stiff neck,Confusion,Seizures,Coma,Supportive care,Antivirals (experimental),IV fluids,
Juvenile Idiopathic Arthritis,Autoimmune Disorder,Moderate,Joint pain,Swelling,Stiffness,Fatigue,Fever,Rash,Growth problems,NSAIDs,Methotrexate,Biologic agents,
Kaposi Sarcoma,Cancer,Severe,Purple skin lesions,Mouth ulcers,Swelling,Pain,Cough,Breathing difficulty,Weight loss,Antiretrovirals,Chemotherapy,Radiation therapy,
Kawasaki Disease,Pediatric Inflammatory,Moderate,Fever,Rash,Swollen hands/feet,Red eyes,Cracked lips,Swollen lymph nodes,Peeling skin,IVIG (intravenous immunoglobulin),Aspirin,Corticosteroids,
Keratitis,Eye Disorder,Moderate,Eye redness,Pain,Blurred vision,Light sensitivity,Tearing,Foreign body sensation,,Antibiotic eye drops,Antiviral drops,Steroid eye drops,
Kidney Failure,Renal Disorder,Severe,Swelling in legs,Fatigue,Nausea,Confusion,Irregular heartbeat,Shortness of breath,Urine changes,Dialysis,Erythropoietin,Diuretics,
Kidney Stones,Renal Disorder,Moderate,Flank pain,Nausea,Blood in urine,Frequent urination,Burning urination,Fever,Vomiting,Pain relievers,Alpha blockers,Potassium citrate,
Klinefelter Syndrome,Genetic Disorder,Mild,Small testes,Infertility,Breast enlargement,Learning disabilities,Tall stature,Low testosterone,Reduced facial hair,Testosterone therapy,Educational support,Speech therapy,
Krabbe Disease,Genetic Disorder,Severe,Irritability,Muscle stiffness,Seizures,Developmental delay,Feeding difficulties,Vision loss,Deafness,Supportive care,Anticonvulsants,Bone marrow transplant,
Lassa Fever,Viral Infection,Severe,Fever,Vomiting,Abdominal pain,Diarrhea,Bleeding gums,Sore throat,Weakness,Ribavirin,IV fluids,Supportive care,
Laryngitis,Respiratory Disorder,Mild,Hoarseness,Sore throat,Dry cough,Difficulty speaking,Tickling sensation,Swollen lymph nodes,,Voice rest,Hydration,Lozenges,
Legionnaires' Disease,Bacterial Infection,Severe,Cough,Shortness of breath,Fever,Muscle aches,Headache,Chest pain,Nausea,Levofloxacin,Azithromycin,Supportive therapy,
Leishmaniasis,Parasitic Infection,Moderate,Skin sores,Fever,Weight loss,Enlarged spleen,Enlarged liver,Weakness,Anemia,Amphotericin B,Miltefosine,Sodium stibogluconate,
Leprosy (Hansen’s Disease),Bacterial Infection,Moderate,Skin lesions,Numbness,Muscle weakness,Eye problems,Nasal congestion,Pale patches on skin,,Dapsone,Rifampin,Clofazimine,
Leukemia,Cancer,Severe,Fatigue,Frequent infections,Bleeding/bruising,Bone pain,Swollen lymph nodes,Night sweats,Weight loss,Chemotherapy,Radiation therapy,Stem cell transplant,
Leukoencephalopathy,Neurological Disorder,Severe,Cognitive decline,Coordination problems,Memory issues,Personality change,Vision problems,Speech difficulties,,Supportive care,Antivirals (if viral),Physical therapy,
Lichen Planus,Skin Disorder,Mild,Purple bumps,Itching,Blisters,Mouth ulcers,Hair loss,Nail changes,,Corticosteroids,Antihistamines,Retinoids,
Listeriosis,Bacterial Infection,Moderate,Fever,Muscle aches,Nausea,Diarrhea,Stiff neck,Confusion,Seizures,Ampicillin,Gentamicin,Supportive care,
Liver Cirrhosis,Liver Disorder,Severe,Fatigue,Weakness,Jaundice,Abdominal swelling,Easy bruising,Itching,Confusion,Diuretics,Beta blockers,Lactulose,
Lyme Disease,Bacterial Infection,Moderate,Bull's eye rash,Fever,Headache,Fatigue,Joint pain,Neck stiffness,Heart palpitations,Doxycycline,Amoxicillin,Cefuroxime,
Lymphoma,Cancer,Severe,Swollen lymph nodes,Fatigue,Night sweats,Fever,Weight loss,Itching,Chest pain,Chemotherapy,Radiation therapy,Immunotherapy,
Macular Degeneration,Eye Disorder,Moderate,Blurred vision,Difficulty reading,Visual distortion,Reduced central vision,Dark spots,,,Anti-VEGF drugs,Antioxidant vitamins,Zinc supplements,
Malaria,Parasitic Infection,Severe,Fever,Chills,Sweating,Headache,Vomiting,Muscle pain,Fatigue,Chloroquine,Artemisinin-based combo,Quinine,
Malnutrition,Nutritional Disorder,Moderate,Weight loss,Weakness,Dizziness,Poor wound healing,Irritability,Hair thinning,Pale skin,Nutritional supplements,Vitamin injections,Balanced diet,
Measles,Viral Infection,Moderate,Fever,Rash,Runny nose,Cough,Red eyes,Koplik spots,Sore throat,Vitamin A,Antipyretics,Supportive care,
Meniere’s Disease,Ear Disorder,Moderate,Vertigo,Hearing loss,Tinnitus,Ear pressure,Nausea,Balance issues,Headache,Diuretics,Antiemetics,Betahistine,
Meningitis,Neurological Disorder,Severe,Stiff neck,Fever,Headache,Vomiting,Sensitivity to light,Seizures,Confusion,Ceftriaxone,Vancomycin,Dexamethasone,
Menstrual Disorder,Reproductive Disorder,Mild,Irregular periods,Cramps,Bloating,Mood swings,Headache,Fatigue,Acne,NSAIDs,Hormonal contraceptives,Iron supplements,
Mercury Poisoning,Toxicological Condition,Severe,Tremors,Memory problems,Mood swings,Muscle weakness,Vision changes,Numbness,Skin rash,Chelation therapy,Activated charcoal,IV fluids,
Migraine,Neurological Disorder,Moderate,Headache,Nausea,Sensitivity to light,Sensitivity to sound,Vomiting,Aura,Fatigue,Triptans,NSAIDs,Beta blockers,
Molar Pregnancy,Reproductive Disorder,Severe,Vaginal bleeding,Nausea,Rapid uterine growth,High hCG levels,Pelvic pain,No fetal heartbeat,Anemia,Dilation & curettage,Rh immunoglobulin,Contraceptives,
Monkeypox,Viral Infection,Moderate,Fever,Rash,Swollen lymph nodes,Headache,Muscle aches,Chills,Exhaustion,Tecovirimat,Antihistamines,Supportive care,
Mononucleosis (Mono),Viral Infection,Mild,Fatigue,Sore throat,Swollen tonsils,Fever,Headache,Rash,Swollen lymph nodes,Acetaminophen,NSAIDs,Hydration,
Motion Sickness,Neurological Disorder,Mild,Nausea,Dizziness,Sweating,Vomiting,Headache,Irritability,Cold sweats,Dimenhydrinate,Meclizine,Scopolamine patches,
Multiple Myeloma,Cancer,Severe,Bone pain,Fatigue,Anemia,Frequent infections,Kidney dysfunction,Weight loss,Nausea,Chemotherapy,Corticosteroids,Bisphosphonates,
Multiple Sclerosis,Autoimmune Disorder,Severe,Numbness,Tingling,Vision loss,Fatigue,Balance issues,Speech problems,Weakness,Interferons,Corticosteroids,Immunomodulators,
Mumps,Viral Infection,Mild,Swollen salivary glands,Painful chewing,Fever,Headache,Fatigue,Muscle aches,Loss of appetite,Pain relievers,Ice packs,Supportive care,
Muscular Dystrophy,Neuromuscular Disorder,Severe,Muscle weakness,Difficulty walking,Frequent falls,Trouble breathing,Scoliosis,Learning difficulties,Fatigue,Corticosteroids,Physical therapy,Orthopedic devices,
Myasthenia Gravis,Autoimmune Disorder,Moderate,Muscle weakness,Drooping eyelids,Difficulty swallowing,Double vision,Fatigue,Difficulty speaking,Breathing problems,Anticholinesterase meds,Immunosuppressants,Plasmapheresis,
Myocardial Infarction,Cardiovascular Disease,Severe,Chest pain,Shortness of breath,Nausea,Sweating,Lightheadedness,Fatigue,Anxiety,Aspirin,Nitroglycerin,Beta blockers,
Nasopharyngeal Cancer,Cancer,Severe,Nasal congestion,Nosebleeds,Hearing loss,Lump in neck,Facial numbness,Headache,Sore throat,Radiation therapy,Chemotherapy,Pain management,
Nephrotic Syndrome,Kidney Disorder,Severe,Swelling,Foamy urine,Weight gain,Fatigue,High BP,Loss of appetite,Muscle cramps,Diuretics,ACE inhibitors,Corticosteroids,
Neuralgia,Neurological Disorder,Moderate,Sharp pain,Burning sensation,Tingling,Numbness,Pain episodes,Sensitivity to touch,Muscle twitching,Anticonvulsants,Antidepressants,Pain relievers,
Neuroblastoma,Cancer,Severe,Abdominal pain,Fatigue,Fever,Weight loss,Loss of appetite,Lumps under skin,Weakness,Chemotherapy,Radiation therapy,Surgery,
Neurocysticercosis,Parasitic Infection,Severe,Seizures,Headache,Confusion,Hydrocephalus,Balance issues,Vision changes,Nausea,Albendazole,Antiepileptics,Steroids,
Neuropathy,Neurological Disorder,Moderate,Burning pain,Numbness,Tingling,Weakness,Muscle cramps,Sensitivity to touch,Balance problems,Gabapentin,Amitriptyline,Pain relievers,
Norovirus Infection,Viral Infection,Mild,Diarrhea,Vomiting,Nausea,Stomach cramps,Low-grade fever,Fatigue,Headache,Oral rehydration therapy,Antiemetics,Rest,
Obsessive-Compulsive Disorder,Mental Health Disorder,Moderate,Obsessions,Compulsions,Ritualistic behavior,Anxiety,Restlessness,Trouble concentrating,Insomnia,SSRIs,Cognitive behavioral therapy,Anxiolytics,
Obstructive Sleep Apnea,Respiratory Disorder,Severe,Gasping during sleep,Loud snoring,Daytime sleepiness,Morning headache,Dry mouth,Irritability,Memory issues,CPAP,Weight loss,Positional therapy,
Oesophageal Cancer,Cancer,Severe,Difficulty swallowing,Chest pain,Vomiting blood,Weight loss,Hoarseness,Chronic cough,Indigestion,Chemotherapy,Radiation therapy,Surgery,
Optic Neuritis,Neurological Disorder,Moderate,Vision loss,Eye pain,Color vision loss,Eye movement pain,Blurred vision,Headache,Nausea,Corticosteroids,Immunotherapy,Pain management,
Oral Thrush,Fungal Infection,Mild,White patches,Sore mouth,Burning sensation,Dry mouth,Cracking at corners,Difficulty eating,Loss of taste,Antifungal lozenges,Nystatin,Fluconazole,
Orchitis,Reproductive Disorder,Moderate,Scrotal pain,Swelling,Tender testicles,Abdominal pain,Fever,Nausea,Fatigue,Antibiotics,Pain relievers,Cold packs,
Osteoarthritis,Musculoskeletal Disorder,Moderate,Joint pain,Stiffness,Swelling,Limited motion,Cracking joints,Muscle loss,Weakness,NSAIDs,Corticosteroid injections,Physical therapy,
Osteomyelitis,Bone Infection,Severe,Bone pain,Swelling,Warmth over area,Limited mobility,Fever,Fatigue,Nausea,IV antibiotics,Pain management,Surgery,
Osteoporosis,Musculoskeletal Disorder,Moderate,Bone fractures,Back pain,Loss of height,Stooped posture,Weak grip,Joint pain,Fatigue,Bisphosphonates,Calcium supplements,Vitamin D,
Otitis Media,Ear Infection,Mild,Ear pain,Fluid drainage,Hearing loss,Trouble sleeping,Fever,Irritability,Headache,Amoxicillin,Analgesics,Decongestants,
Ovarian Cancer,Cancer,Severe,Abdominal bloating,Pelvic pain,Difficulty eating,Frequent urination,Back pain,Menstrual changes,Fatigue,Chemotherapy,Surgery,Targeted therapy,
Pancreatic Cancer,Cancer,Severe,Abdominal pain,Jaundice,Weight loss,Dark urine,Back pain,Nausea,Fatigue,Chemotherapy,Radiation therapy,Surgery,
Panic Disorder,Mental Health Disorder,Moderate,Sudden fear,Chest pain,Shortness of breath,Palpitations,Dizziness,Sweating,Nausea,SSRIs,Benzodiazepines,CBT,
Parkinson’s Disease,Neurological Disorder,Chronic,Tremors,Slowness of movement,Muscle stiffness,Balance problems,Posture issues,Speech changes,Depression,Levodopa,Dopamine agonists,MAO-B inhibitors,
Parvovirus B19 Infection,Viral Infection,Mild,Slapped cheek rash,Fever,Runny nose,Sore throat,Joint pain,Fatigue,Headache,Acetaminophen,Rest,Fluids,
Pelvic Inflammatory Disease,Reproductive Disorder,Moderate,Pelvic pain,Vaginal discharge,Painful intercourse,Irregular bleeding,Fever,Nausea,Fatigue,Antibiotics,Pain relievers,Rest,
Peptic Ulcer,Digestive Disorder,Moderate,Abdominal pain,Heartburn,Nausea,Vomiting,Bloating,Weight loss,Loss of appetite,Proton pump inhibitors,Antacids,Antibiotics (if H. pylori),
Pericarditis,Cardiovascular Disorder,Moderate,Chest pain,Shortness of breath,Palpitations,Fatigue,Fever,Cough,Weakness,NSAIDs,Colchicine,Corticosteroids,
Peripheral Artery Disease,Cardiovascular Disorder,Moderate,Leg pain when walking,Cold legs,Weak pulse,Slow wounds healing,Numbness,Cramps,Shiny skin,Statins,Antiplatelets,Lifestyle changes,
Pertussis (Whooping Cough),Bacterial Infection,Moderate,Severe cough,Whooping sound,Vomiting after cough,Fever,Fatigue,Runny nose,Sneezing,Azithromycin,Erythromycin,Supportive care,
Pheochromocytoma,Endocrine Disorder,Severe,High blood pressure,Rapid heartbeat,Headaches,Sweating,Tremors,Anxiety,Pale skin,Alpha blockers,Beta blockers,Surgery,
Pharyngitis,Respiratory Infection,Mild,Sore throat,Difficulty swallowing,Swollen lymph nodes,Fever,Cough,Headache,Fatigue,NSAIDs,Throat lozenges,Antibiotics (if bacterial),
Pityriasis Rosea,Skin Condition,Mild,Rash,Pink spots,Itching,Mild fever,Fatigue,Sore throat,Headache,Antihistamines,Topical steroids,Moisturizers,
Pleurisy,Respiratory Disorder,Moderate,Chest pain,Sharp breathing pain,Shortness of breath,Shallow breathing,Cough,Fever,Fatigue,NSAIDs,Antibiotics (if infection),Corticosteroids,
Pneumocystis Pneumonia,Fungal Infection,Severe,Difficulty breathing,Dry cough,Chest tightness,Fever,Weight loss,Fatigue,Chills,Trimethoprim-sulfamethoxazole,Corticosteroids,Oxygen therapy,
Pneumonia,Respiratory Infection,Severe,Shortness of breath,Cough,Chest pain,Fever,Chills,Fatigue,Sweating,Antibiotics (if bacterial),Antivirals (if viral),Rest,
Polio,Viral Infection,Severe,Muscle weakness,Paralysis,Stiff neck,Fever,Headache,Nausea,Sore throat,Supportive care,Pain relievers,Physical therapy,
Polycystic Ovary Syndrome,Reproductive Disorder,Moderate,Irregular periods,Excess hair growth,Acne,Weight gain,Ovarian cysts,Infertility,Fatigue,Hormonal contraceptives,Metformin,Lifestyle changes,
Post-Traumatic Stress Disorder,Mental Health Disorder,Severe,Flashbacks,Nightmares,Anxiety,Avoidance,Mood swings,Sleep problems,Irritability,SSRIs,Cognitive therapy,Anxiolytics,
Prostate Cancer,Cancer,Severe,Difficulty urinating,Blood in urine,Pelvic pain,Bone pain,Frequent urination,Weak stream,Erectile dysfunction,Hormone therapy,Chemotherapy,Surgery,
Psoriasis,Skin Condition,Chronic,Red patches,Silvery scales,Itching,Burning sensation,Dry skin,Cracked skin,Joint pain,Topical corticosteroids,Vitamin D analogs,Immunosuppressants,
Q Fever,Bacterial Infection,Moderate,High fever,Chills,Muscle pain,Chest pain,Fatigue,Cough,Nausea,Doxycycline,Hydroxychloroquine,Supportive care,
Rabies,Viral Infection,Severe,Excess salivation,Muscle spasms,Confusion,Agitation,Fever,Headache,Paralysis,Rabies vaccine,Rabies immunoglobulin,Supportive care,
Radiation Sickness,Environmental Illness,Severe,Hair loss,Skin burns,Nausea,Vomiting,Dizziness,Bleeding,Fatigue,Potassium iodide,Anti-nausea meds,Antibiotics,
Raynaud’s Disease,Vascular Disorder,Mild,Cold fingers/toes,Color change in skin,Numbness,Tingling,Throbbing pain,Stiff fingers,Ulcers (severe cases),Calcium channel blockers,Vasodilators,Lifestyle changes,
Reactive Arthritis,Autoimmune Disorder,Moderate,Joint pain,Eye inflammation,Urinary issues,Conjunctivitis,Swelling,Lower back pain,Fatigue,NSAIDs,Corticosteroids,DMARDs,
Rectal Cancer,Cancer,Severe,Blood in stool,Change in bowel habits,Abdominal pain,Weight loss,Constipation,Diarrhea,Fatigue,Chemotherapy,Radiation therapy,Surgery,
Renal Failure,Kidney Disorder,Severe,Decreased urine output,Swelling,Fatigue,Chest pain,Nausea,Shortness of breath,Confusion,Dialysis,Diuretics,Kidney transplant,
Respiratory Syncytial Virus (RSV),Viral Infection,Mild to Severe,Difficulty breathing,Wheezing,Fever,Runny nose,Cough,Irritability,Poor feeding,Antipyretics,Fluids,Supportive care,
Restless Legs Syndrome,Neurological Disorder,Mild to Moderate,Urge to move legs,Leg discomfort,Sleep disturbance,Jerking movements,Tingling,Burning sensation,Fatigue,Dopamine agonists,Iron supplements,Gabapentin,
Retinal Detachment,Eye Disorder,Severe,Sudden floaters,Flashes of light,Vision loss,Shadow over vision,Blurred vision,Eye pain,Light sensitivity,Surgery,Laser therapy,Cryopexy,
Rheumatic Fever,Autoimmune Disorder,Severe,Joint pain,Fever,Skin rash,Chest pain,Shortness of breath,Fatigue,Palpitations,Antibiotics,Anti-inflammatories,Anticonvulsants,
Rheumatoid Arthritis,Autoimmune Disorder,Chronic,Joint swelling,Morning stiffness,Fatigue,Joint pain,Warm joints,Limited movement,Weight loss,DMARDs,NSAIDs,Biologic agents,
Rickets,Nutritional Disorder,Mild to Moderate,Bowed legs,Bone pain,Skeletal deformities,Muscle weakness,Soft skull,Delayed growth,Dental issues,Vitamin D supplements,Calcium supplements,Sunlight exposure,
Ringworm (Tinea),Fungal Infection,Mild,Circular rash,Itching,Red patches,Scaly skin,Hair loss (if scalp),Blistering,Burning sensation,Antifungal creams,Oral antifungals,Topical steroids,
Rocky Mountain Spotted Fever,Bacterial Infection,Severe,High fever,Rash,Abdominal pain,Headache,Muscle pain,Vomiting,Nausea,Doxycycline,Antibiotics,Supportive care,
Rosacea,Skin Condition,Mild to Moderate,Facial redness,Visible blood vessels,Bumps,Burning skin,Swelling,Eye irritation,Dry skin,Metronidazole,Azelaic acid,Oral antibiotics,
Rotavirus,Viral Infection,Moderate,Diarrhea,Vomiting,Dehydration,Fever,Abdominal cramps,Fatigue,Poor appetite,Oral rehydration therapy,Zinc supplements,Antiemetics,
Rubella (German Measles),Viral Infection,Mild,Rash,Swollen glands,Fever,Runny nose,Headache,Eye redness,Joint pain,MMR vaccine (prevention),Acetaminophen,Rest,
Salmonella Infection,Bacterial Infection,Moderate,Diarrhea,Abdominal cramps,Fever,Nausea,Vomiting,Headache,Muscle pain,Rehydration therapy,Antidiarrheals (if advised),Antibiotics (severe cases),
Sarcoidosis,Autoimmune Disorder,Moderate,Swollen lymph nodes,Fatigue,Shortness of breath,Weight loss,Cough,Skin rashes,Eye inflammation,Corticosteroids,Immunosuppressants,Antimalarials,
Scabies,Parasitic Infestation,Mild,Itching,Rash,Nighttime itch,Thin burrow tracks,Sores,Red bumps,Blisters,Permethrin cream,Ivermectin,Antihistamines,
Scarlet Fever,Bacterial Infection,Moderate,Rash,Sore throat,Fever,Red tongue,Flushed face,Swollen glands,Headache,Penicillin,Amoxicillin,Antipyretics,
Schistosomiasis,Parasitic Infection,Moderate,Bloody stool,Abdominal pain,Liver enlargement,Diarrhea,Rash,Fatigue,Blood in urine,Praziquantel,Corticosteroids,Pain relievers,
Scleroderma,Autoimmune Disorder,Chronic,Thickened skin,Tight fingers,Joint pain,Shortness of breath,Digestive issues,Cough,Raynaud’s phenomenon,Immunosuppressants,NSAIDs,Proton pump inhibitors,
Scoliosis,Musculoskeletal Disorder,Mild to Moderate,Spinal curvature,Uneven shoulders,Back pain,Fatigue,Uneven waist,Breathing issues,Limited movement,Bracing,Painkillers,Surgery (severe cases),
Scrub Typhus,Bacterial Infection,Severe,Fever,Confusion,Rash,Swollen lymph nodes,Headache,Nausea,Cough,Doxycycline,Azithromycin,Supportive care,
Sepsis,Systemic Infection,Severe,Low blood pressure,Fever,Rapid heartbeat,Confusion,Shortness of breath,Cold extremities,Chills,IV antibiotics,Vasopressors,IV fluids,
Septic Arthritis,Bacterial Infection,Severe,Joint pain,Swelling,Fever,Redness,Warm joint,Chills,Limited motion,Antibiotics,Drainage procedure,Anti-inflammatory drugs,
Shigellosis,Bacterial Infection,Moderate,Diarrhea (often bloody),Abdominal cramps,Fever,Tenesmus,Dehydration,Nausea,Vomiting,Rehydration therapy,Antibiotics (if needed),Antidiarrheals (cautious),
Shingles (Herpes Zoster),Viral Infection,Moderate,Painful rash,Tingling,Blisters,Burning sensation,Itching,Fever,Fatigue,Acyclovir,Valacyclovir,Pain relievers,
Sickle Cell Anemia,Genetic Disorder,Chronic,Pain episodes,Fatigue,Swelling in hands/feet,Anemia,Frequent infections,Delayed growth,Vision problems,Hydroxyurea,Blood transfusions,Pain management,
Sinusitis,Respiratory Infection,Mild,Facial pain,Nasal congestion,Runny nose,Headache,Postnasal drip,Fever,Fatigue,Decongestants,Saline nasal spray,Antibiotics (if bacterial),
Sjögren’s Syndrome,Autoimmune Disorder,Chronic,Dry eyes,Dry mouth,Joint pain,Fatigue,Swollen salivary glands,Vaginal dryness,Cough,Artificial tears,Immunosuppressants,Saliva stimulants,
Skin Cancer (Melanoma),Cancer,Severe,Mole changes,Bleeding mole,New dark spots,Ulceration,Itching,Swelling,Pain,Surgery,Immunotherapy,Radiation therapy,
Smallpox (eradicated),Viral Infection,Severe,High fever,Rash,Blisters,Fatigue,Scabs,Vomiting,Back pain,Vaccination (historical),Antivirals (experimental),Supportive care,
Spina Bifida,Birth Defect,Chronic,Spinal opening,Leg weakness,Bladder problems,Bowel issues,Hydrocephalus,Intellectual issues,Orthopedic issues,Surgery,Physical therapy,Mobility aids,
Staphylococcus Infection,Bacterial Infection,Moderate,Boils,Pus drainage,Skin redness,Fever,Pain,Swelling,Fatigue,Antibiotics,Drainage procedure,Topical antibiotics,
